Id,Sex,PopNum,Population,GOL,NOL,BNL
518,M,5,DOGON,172,171,99
519,M,5,DOGON,177,176,99
520,M,5,DOGON,180,177,97
521,M,5,DOGON,180,179,106
524,M,5,DOGON,172,170,96
525,M,5,DOGON,175,172,100
526,M,5,DOGON,174,172,95
527,M,5,DOGON,175,171,98
528,M,5,DOGON,172,169,98
529,M,5,DOGON,176,173,94
530,M,5,DOGON,184,184,97
531,M,5,DOGON,177,177,102
532,M,5,DOGON,175,172,98
533,M,5,DOGON,182,180,102
534,M,5,DOGON,177,176,96
535,M,5,DOGON,179,175,95
536,M,5,DOGON,178,176,98
537,M,5,DOGON,178,176,96
538,M,5,DOGON,189,185,100
539,M,5,DOGON,188,186,101
540,M,5,DOGON,178,175,100
541,M,5,DOGON,175,173,94
542,M,5,DOGON,177,174,100
543,M,5,DOGON,182,181,95
544,M,5,DOGON,181,178,99
545,M,5,DOGON,180,178,102
546,M,5,DOGON,180,180,96
547,M,5,DOGON,187,185,105
548,M,5,DOGON,177,176,101
549,M,5,DOGON,180,177,105
550,M,5,DOGON,176,174,98
551,M,5,DOGON,168,170,91
552,M,5,DOGON,179,176,98
553,M,5,DOGON,179,179,100
554,M,5,DOGON,171,168,95
555,M,5,DOGON,182,182,100
556,M,5,DOGON,177,175,95
557,M,5,DOGON,172,170,99
558,M,5,DOGON,173,169,96
559,M,5,DOGON,173,173,99
560,M,5,DOGON,178,177,102
561,F,5,DOGON,165,164,92
562,F,5,DOGON,161,159,92
563,F,5,DOGON,164,162,89
564,F,5,DOGON,169,169,97
565,F,5,DOGON,164,164,97
566,F,5,DOGON,177,174,92
567,F,5,DOGON,163,163,96
568,F,5,DOGON,167,167,88
569,F,5,DOGON,178,178,96
570,F,5,DOGON,167,166,97
571,F,5,DOGON,174,174,99
572,F,5,DOGON,179,178,96
573,F,5,DOGON,163,163,88
574,F,5,DOGON,178,174,102
575,F,5,DOGON,177,176,99
576,F,5,DOGON,174,174,95
577,F,5,DOGON,168,169,95
578,F,5,DOGON,172,170,100
579,F,5,DOGON,160,160,93
580,F,5,DOGON,178,177,102
581,F,5,DOGON,173,171,96
582,F,5,DOGON,177,176,97
583,F,5,DOGON,163,163,92
584,M,5,DOGON,170,171,93
585,F,5,DOGON,184,181,98
586,F,5,DOGON,160,160,91
587,F,5,DOGON,168,165,91
588,F,5,DOGON,170,170,91
589,F,5,DOGON,183,182,99
590,F,5,DOGON,165,166,94
591,F,5,DOGON,172,172,96
592,F,5,DOGON,176,174,96
593,F,5,DOGON,169,170,90
594,F,5,DOGON,165,164,86
595,F,5,DOGON,166,167,93
596,F,5,DOGON,162,162,94
597,F,5,DOGON,165,166,99
598,F,5,DOGON,174,173,96
599,F,5,DOGON,177,176,97
600,F,5,DOGON,179,177,93
601,F,5,DOGON,168,168,98
602,F,5,DOGON,157,156,88
603,F,5,DOGON,170,169,97
604,F,5,DOGON,174,175,94
605,F,5,DOGON,172,171,96
606,F,5,DOGON,170,169,95
607,F,5,DOGON,168,168,92
608,F,5,DOGON,165,162,93
609,F,5,DOGON,168,167,95
610,F,5,DOGON,164,164,98
611,F,5,DOGON,169,167,94
612,F,5,DOGON,169,168,92
613,F,5,DOGON,171,169,107
614,M,6,ZULU,189,187,96
615,M,6,ZULU,176,173,102
616,M,6,ZULU,182,180,99
617,M,6,ZULU,192,190,109
618,M,6,ZULU,189,186,100
619,M,6,ZULU,191,189,104
620,M,6,ZULU,176,174,100
621,M,6,ZULU,182,181,99
622,M,6,ZULU,190,190,103
623,M,6,ZULU,194,192,110
